	Original			Reduced			
Input	n	m	T	n'	m'	T'	Time
instance001	6405	10454	16	2206	3776	10	0.789
instance003	8007	14743	24	2740	4832	23	3.189
instance005	8013	14749	30	4005	7171	29	5.575
instance007	38282	71521	34	17544	31744	34	67.834
instance009	3803	6213	38	895	1356	30	0.868
instance011	19100	35653	40	8239	14818	38	31.764
instance013	550	5013	50	550	5013	50	
instance015	1000	13500	50	1000	13500	50	
instance017	3716	6750	52	1896	3312	49	4.558
instance019	38307	71546	58	16764	30221	57	327.955
instance021	1331	19965	61	1331	11730	61	
instance023	1331	19965	61	1331	19965	61	
instance025	512	2304	64	507	2260	59	
instance027	1822	3610	64	1726	3456	60	11.071
instance029	987	1923	67	765	1541	42	4.746
instance031	1728	28512	74	1728	16302	74	
instance033	1728	28512	74	1728	28512	74	
instance035	1761	3370	76	1493	2926	68	18.268
instance037	2346	4656	78	2024	4062	74	25.974
instance039	320	640	80	253	558	73	
instance041	320	1845	80	320	1831	80	
instance043	1491	2831	80	1360	2610	76	
instance045	320	10208	80	320	9815	80	
instance047	320	51040	80	320	48333	80	
instance049	3168	6220	83	2935	5874	80	
instance051	528	1017	85	521	1005	85	378.21
instance053	743	1409	88	587	1112	75	1.082
instance055	1343	2594	91	1202	2360	79	838.06
instance057	1976	3836	94	1673	3341	81	11.553
instance059	2518	4985	96	2337	4686	89	292.674
instance061	2265	4545	98	2059	4186	83	138.718
instance063	9469	22743	100	9441	21672	97	534.197
instance065	10393	18043	104	3635	6528	88	32.059
instance067	3224	5285	126	825	1220	101	2.126
instance069	1024	5120	135	1024	5120	135	
instance071	640	1280	160	506	1130	152	
instance073	640	4135	160	640	4083	160	
instance075	640	40896	160	640	38941	160	
instance077	640	204480	160	640	192611	160	
instance079	38418	71657	172	24621	44818	169	
instance081	44624	56205	190	8707	13276	187	
instance083	2200	7997	200	1819	7330	200	
instance085	1200	10002	200	1199	10000	200	
instance087	7527	18170	200	7497	17186	191	
instance089	33901	62816	204	14682	27459	197	
instance091	2187	15308	222	2187	15308	222	
instance093	2048	11263	244	2048	11263	244	
instance095	512	2304	256	512	2304	256	
instance097	3300	18073	300	3140	17795	300	
instance099	8755	14449	347	4481	6701	318	429.874
instance101	9287	14975	363	3957	5894	312	
instance103	50002	65203	386	10548	16260	380	
instance105	783	2262	406	783	2262	406	
instance107	14685	23466	421	7924	11970	390	755.375
instance109	12715	20632	475	4879	7301	410	58.764
instance111	12355	19962	503	4800	7165	411	
instance113	1024	5120	512	1024	5120	512	
instance115	9574	16208	543	4103	6044	479	
instance117	79244	101189	550	15616	24129	541	
instance119	1081	3174	552	1081	3174	552	
instance121	5556	8552	570	1072	1536	292	
instance123	21808	34921	594	8306	12459	525	
instance125	20547	33230	627	11556	17471	583	
instance127	13316	22033	653	5318	7876	560	
instance129	15122	24371	737	7722	11578	628	
instance131	13294	21948	835	6347	9352	720	
instance133	15714	25567	871	7183	10615	749	
instance135	25081	40739	888	12407	18531	789	
instance137	97928	128632	902	20299	31518	888	
instance139	29905	47457	943	15077	22655	853	
instance141	30857	49591	990	17303	26171	858	
instance143	2676	3894	1000	1562	2507	476	
instance145	2865	4267	1000	1804	2905	539	
instance147	62174	87562	1015	14645	22594	980	
instance149	2048	11264	1024	2048	11264	1024	
instance151	42008	67572	1242				
instance153	33188	53680	1263	15448	23090	1140	
instance155	33118	55127	1553				
instance157	26840	43661	1645	11075	16264	1319	
instance159	30585	50454	1704				
instance161	72701	115430	1790				
instance163	117756	165153	1879				
instance165	88728	133625	2041				
instance167	4096	24576	2048	4096	24576	2048	
instance169	69988	111804	2162				
instance171	54351	88211	2182				
instance173	44934	73727	2319				
instance175	48833	79987	2493				
instance177	57551	95381	2973				
instance179	68464	108732	3001				
instance181	135543	201803	3033				
instance183	120866	187312	3224				
instance185	66048	110491	3343				
instance187	63158	107345	3458				
instance189	172687	255825	3902				
instance191	85085	138888	3954				
instance193	17127	27352	4461	13559	22238	3262	
instance195	89596	148583	4991				
instance197	235686	366093	6313				
instance199	18245	36038	17795	18245	36038	17795	
Score							24|3975.283
